feat_list,model,avg_test_RMSE
1,NuSVR,15.29658937
1,LarsCV,15.35583478
1,OrthogonalMatchingPursuit,15.35583478
2,Lars,15.12745746
2,Ridge,15.12748999
2,SGDRegressor,15.22636303
3,LarsCV,14.92485603
3,LassoLarsIC,14.92485603
3,LassoLarsCV,14.99527961
3,Lars,14.99527961
3,LassoCV,15.07251976
3,Ridge,15.07259475
4,LassoLarsIC,14.92144821
4,Lars,14.99157342
4,LassoLarsCV,14.99157342
4,LarsCV,14.99157342
4,LassoCV,15.06720615
4,Ridge,15.06727183
5,GradientBoostingRegressor,14.81272409
5,NuSVR,14.86156837
5,LinearRegression,14.91244553
5,RidgeCV,14.98425906
5,PoissonRegressor,15.01212093
6,NuSVR,14.87267938
6,SGDRegressor,14.89219498
6,Lars,14.91495995
6,RidgeCV,14.98742556
6,Ridge,14.9877996
6,PoissonRegressor,15.01678768
7,SVR,14.80926796
7,NuSVR,14.87619112
7,Ridge,14.8955379
7,SGDRegressor,14.93873881
7,RidgeCV,14.94272635
7,PoissonRegressor,15.00760901
8,SVR,14.79340647
8,NuSVR,14.86867909
8,SGDRegressor,14.86918696
8,LinearRegression,14.87827577
8,Ridge,14.87829507
8,RidgeCV,14.9256745
9,SVR,14.78399226
9,NuSVR,14.85765537
9,LassoLarsIC,14.86399199
9,Lars,14.86625501
9,Ridge,14.86627575
9,RidgeCV,14.93743978
10,NuSVR,14.82109733
10,PoissonRegressor,14.86658319
10,Lars,14.86764752
10,LinearRegression,14.86764752
10,TransformedTargetRegressor,14.86764752
10,Ridge,14.86766148
10,RidgeCV,14.91438757
10,LassoLarsIC,14.91456849
10,BayesianRidge,14.97828028
