feat_list,model,avg_test_RMSE
2,GradientBoostingRegressor,18.978529197067537
2,MLPRegressor,18.984530257684867
2,NuSVR,18.992968563424153
2,HistGradientBoostingRegressor,19.014766054186403
2,SVR,19.037968407517635
2,LGBMRegressor,19.041913857386376
2,AdaBoostRegressor,19.100194696601797
2,XGBRegressor,19.109078783103215
3,GradientBoostingRegressor,18.847039803898745
3,MLPRegressor,18.868133164970473
3,HistGradientBoostingRegressor,18.86884959590789
3,NuSVR,18.86946862242534
3,LGBMRegressor,18.898534468459346
3,SVR,18.902109642419738
3,AdaBoostRegressor,19.00249270595138
3,XGBRegressor,19.11664369260261
4,GradientBoostingRegressor,18.80744243108252
4,MLPRegressor,18.809249965222126
4,HistGradientBoostingRegressor,18.81668380968228
4,NuSVR,18.82039243087592
4,LGBMRegressor,18.823778113971905
4,SVR,18.852734106627338
4,AdaBoostRegressor,19.024023557703515
4,SGDRegressor,19.093396493111804
5,LGBMRegressor,18.731287404810143
5,GradientBoostingRegressor,18.73154305637225
5,HistGradientBoostingRegressor,18.73576206561464
5,MLPRegressor,18.757586706981126
5,NuSVR,18.761392258263946
5,SVR,18.798836022745114
5,AdaBoostRegressor,19.0441179536471
6,LGBMRegressor,18.67551636528346
6,HistGradientBoostingRegressor,18.67616709229145
6,MLPRegressor,18.69253060006138
6,GradientBoostingRegressor,18.700987055758162
6,NuSVR,18.71650650711597
6,SVR,18.758720678947782
6,RandomForestRegressor,18.839018839276466
7,LGBMRegressor,18.616060102221972
7,HistGradientBoostingRegressor,18.64628303060921
7,GradientBoostingRegressor,18.690531922133587
7,RandomForestRegressor,18.69366067298332
7,MLPRegressor,18.706265429686077
7,NuSVR,18.724983072884193
7,SVR,18.77101811104489
8,RandomForestRegressor,18.573311362411864
8,LGBMRegressor,18.57988059931789
8,HistGradientBoostingRegressor,18.602776756374116
8,GradientBoostingRegressor,18.661593434349253
8,MLPRegressor,18.676355172634906
8,NuSVR,18.684001076733665
8,SVR,18.72470227525782
8,AdaBoostRegressor,19.02060218371399
