name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Chadhuve Chadhuvantaaru,4AkZ2txKPkmmtxRRX64TPK,Ilaiyaraaja,3m49WVMU4zCkaVEKb8kFW7,Music School (Telugu),4,0,FALSE,0.829,0.745,6,-7.364,0,0.0502,0.442,5.83E-05,0.209,0.644,118.963,248309,4
Evo Saraagaalu,40CFSXjeHHT0YJ8CeL4Meq,Ilaiyaraaja,3m49WVMU4zCkaVEKb8kFW7,Music School (Telugu),4,0,FALSE,0.35,0.399,4,-8.785,1,0.0323,0.379,7.77E-05,0.223,0.306,61.114,225963,5
Jhoom Jhoom,0XnCn17XFPRT5uGCLMFj93,Ilaiyaraaja,3m49WVMU4zCkaVEKb8kFW7,Music School (Telugu),4,0,FALSE,0.802,0.675,11,-8.633,0,0.0564,0.0153,5.35E-06,0.0829,0.699,129.975,217506,4
IIT To MIT My Son Will Go,7eX6WRX1vl0nnBOsdji38X,Ilaiyaraaja,3m49WVMU4zCkaVEKb8kFW7,Music School (Telugu),1,0,FALSE,0.92,0.507,7,-6.771,1,0.142,0.819,0,0.503,0.867,119.951,285000,4
Iam From Goa,2pCfHghWn3qagVxATRk3iX,Ilaiyaraaja,3m49WVMU4zCkaVEKb8kFW7,Music School (Telugu),4,0,FALSE,0.592,0.672,7,-7.171,0,0.095,0.492,1.22E-05,0.19,0.611,105.029,252500,4
Only Way To The Top,5OsWo5Fcm8hEZxZZ84Jrjp,Ilaiyaraaja,3m49WVMU4zCkaVEKb8kFW7,Music School (Telugu),1,0,FALSE,0.737,0.816,10,-6.836,1,0.0452,0.15,1.78E-06,0.581,0.799,123.051,295388,4
Anandham Panchuko,0yv4mpVlMoJm18w2OvoYE1,Ilaiyaraaja,3m49WVMU4zCkaVEKb8kFW7,Music School (Telugu),1,0,FALSE,0.467,0.719,0,-6.672,1,0.147,0.248,6.34E-05,0.0724,0.561,195.899,250888,4
I Won't,19huPAR2ae3qJ4jDIEbbAn,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),13,0,FALSE,0.289,0.722,8,-5.954,1,0.0481,0.0652,0,0.126,0.355,90.868,225213,4
Begin Again,2KxlEVXa3o4ajZ3S8xlh9F,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),12,0,FALSE,0.547,0.79,11,-6.169,1,0.0293,0.0173,3.96E-06,0.19,0.56,136.967,254480,4
You Got Me,4vH71OJLrQU6G7ICE58HAy,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),14,0,FALSE,0.636,0.517,7,-6.472,1,0.033,0.382,0,0.331,0.489,121.046,240507,4
Fallin' For You,5wigId6acS7CJadbxikeFp,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),23,0,FALSE,0.644,0.834,4,-6.473,1,0.0275,0.156,0,0.112,0.593,117.043,215547,4
Rainbow,4QWxwgXvEfvzz69pOI1VbF,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),8,0,FALSE,0.649,0.702,3,-6.39,1,0.0276,0.461,0,0.187,0.657,123.976,236053,4
Droplets,6TJ7DcADCPGTxBDGK4gQF1,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),11,0,FALSE,0.6,0.544,5,-7.684,1,0.0327,0.462,0,0.116,0.307,125.931,203893,4
I Never Told You,0OJDImKLhyzlk7U6CwoRN2,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),18,0,FALSE,0.506,0.639,3,-5.222,1,0.0285,0.171,0,0.315,0.385,144.073,233200,4
Fearless,3b2YramtkawWWsG5DzqXFd,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),9,0,FALSE,0.636,0.354,1,-7.348,1,0.0352,0.495,0,0.0815,0.179,125.967,305720,4
Runnin' Around,4yLjc2nY267deiYFQXBRvT,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),7,0,FALSE,0.625,0.783,2,-6.035,1,0.0289,0.00549,0,0.249,0.614,117.948,227467,4
Break Through,1PS7QsgSJ6QJFBL4iIeW09,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),8,0,FALSE,0.62,0.548,4,-6.994,1,0.0289,0.131,0,0.149,0.115,115.248,219307,4
It Stops Today,1sdt5jpE6fckd2svGnnTYp,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),7,0,FALSE,0.662,0.762,9,-6.766,1,0.0373,0.19,0,0.281,0.719,121.956,227053,4
Breakin' At The Cracks,4LQxVaFUDBxmuU7KgmATmm,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),8,0,FALSE,0.474,0.293,3,-10.736,1,0.0293,0.623,0,0.0924,0.353,112.485,341053,4
What I Wanted to Say,2uEgmRbjnr8A5edfx3WiVl,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),8,0,FALSE,0.646,0.767,8,-8.06,1,0.0274,0.214,1.26E-05,0.112,0.667,133.985,274507,4
Out Of My Mind,1al2rjOJQpcwlO0CVNtPh2,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),8,0,FALSE,0.46,0.644,9,-6.243,1,0.0302,0.155,0.000287,0.147,0.408,179.953,280000,4
Don't Hold Me Down,2ws5xZ7GJYXzlGGiIjr6CE,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),6,0,FALSE,0.517,0.787,9,-4.948,1,0.0306,0.0587,0,0.114,0.493,127.996,226440,4
Never Let You Go,3vXTrEkiBLDAwaNOl8xxQC,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),7,0,FALSE,0.569,0.791,6,-5.23,0,0.0277,0.00078,0.000296,0.138,0.642,132.017,259693,4
Stay With Me,2x2m05cuGSSKzUgGk1lLGX,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Breakthrough (Deluxe Version),8,0,FALSE,0.468,0.483,7,-9.445,1,0.0307,0.651,0,0.155,0.332,95.986,267240,4
Feels Right (I Love It) [Moonshine & Honey],78suU22SsP9KZuSSzgMqQY,Flo Rida,0jnsk9HBra6NMjO2oANoPY,Feels Right (I Love It) [Remixes],28,0,FALSE,0.657,0.867,9,-5.037,1,0.14,0.00572,0,0.071,0.744,136.042,123695,4
Feels Right (I Love It) [At Sunset],7iLUhYGcI6Ip1OvbvHCeZ4,Flo Rida,0jnsk9HBra6NMjO2oANoPY,Feels Right (I Love It) [Remixes],15,0,FALSE,0.653,0.915,9,-5.954,1,0.0521,0.00172,0.0007,0.213,0.93,139.988,145000,4
Feels Right (I Love It) [When In Miami],42xS4rMDagWTkuc5kU1R7l,Flo Rida,0jnsk9HBra6NMjO2oANoPY,Feels Right (I Love It) [Remixes],12,0,FALSE,0.376,0.834,6,-5.449,0,0.105,0.0288,0,0.418,0.702,121.603,144480,4
Feels Right (I Love It) [Sundress Season],62wY6xk0DmK6Vbtslb8eWI,Flo Rida,0jnsk9HBra6NMjO2oANoPY,Feels Right (I Love It) [Remixes],26,0,FALSE,0.65,0.855,6,-5.122,0,0.122,0.0311,0,0.167,0.514,126.015,161905,4
