name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
LUMBERJACK,0BiK5BbYNFLb88CCOxBFJe,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,CALL ME IF YOU GET LOST,60,0,True,0.386,0.762,9,-6.341,1,0.564,0.122,0.0,0.527,0.433,170.691,138312,4
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),4bEcoz1OcfMgUbp2ft8ieQ,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Flower Boy,72,0,True,0.48,0.61,0,-7.042,1,0.305,0.0456,0.0,0.313,0.297,90.034,255653,4
Rusty (feat. Domo Genesis & Earl Sweatshirt),4oQkcfukOHfKsmeoeXQLWC,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Wolf,56,0,True,0.503,0.677,11,-5.647,1,0.248,0.00529,0.00024,0.396,0.364,81.28,309693,4
ARE WE STILL FRIENDS?,5TxRUOsGeWeRl3xOML59Ai,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,IGOR,79,1,True,0.216,0.497,10,-8.025,1,0.0371,0.128,2.39e-06,0.111,0.313,187.308,265480,3
48,2wK7y55bzry7tUDmDqYaz7,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Wolf,57,0,True,0.558,0.887,1,-8.083,1,0.265,0.132,0.0,0.89,0.537,119.91,247293,4
Answer,6rqj2zeKhLy3exkuFi6mSz,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Wolf,71,0,True,0.352,0.838,8,-6.465,0,0.0496,0.00329,5.74e-06,0.115,0.475,72.291,230067,4
Garden Shed (feat. Estelle),6ACiYjq5Q7e6BlhZEHz7cd,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Flower Boy,63,0,True,0.423,0.456,2,-8.45,0,0.0579,0.381,0.016,0.12,0.148,112.984,223947,4
November,4XDpeWqPADoWRKcUY3dC84,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Flower Boy,61,0,True,0.547,0.759,1,-7.039,0,0.413,0.354,2.15e-05,0.676,0.575,91.85,225347,4
Foreword (feat. Rex Orange County),33i3xxHB4YSYGYbtJrwwO8,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Flower Boy,61,0,True,0.734,0.671,1,-7.107,1,0.0315,0.118,0.00317,0.352,0.113,94.025,194080,4
"2SEATER (feat. Aaron Shaw, Samantha Nelson & Austin Feinstein)",5LUJ8X9S6lJOeUwJkWqCeX,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Cherry Bomb + Instrumentals,42,0,True,0.352,0.693,10,-7.412,0,0.361,0.334,6.21e-05,0.611,0.348,88.855,409779,4
