name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
GODIVA,3DY25d8SrkLEI6Xugzf6tT,Ovy On The Drums,3m5qlPf2OkihLz3dRYnkPA,GODIVA,69,1,True,0.685,0.812,0,-2.414,1,0.057,0.201,0.0,0.086,0.739,173.978,219359,4
amor tonight,6jmjb6lF1vRv6lHIrdGFAI,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,amor tonight,48,0,True,0.783,0.796,1,-6.766,0,0.0449,0.346,0.0325,0.0754,0.552,113.981,210526,4
PARTY (feat. Quavo & Takeoff),4i9ryzM1AGOOH1FN3OMrUL,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,PARTY (feat. Quavo & Takeoff),26,0,True,0.786,0.618,2,-6.449,1,0.153,0.024,0.0,0.336,0.443,119.964,211025,4
Players - Tokischa Remix,3CiqiUV5zVJ2f80qHMyAKZ,Coi Leray,6AMd49uBDJfhf30Ak2QR5s,Players (Tokischa Remix),41,0,True,0.958,0.53,6,-6.157,0,0.187,0.0745,1.64e-05,0.0592,0.642,105.007,144133,4
"Manos Frías (con Reik, Beéle)",14SFx9btIIv81LSbaajTv1,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,"Manos Frías (con Reik, Beéle)",53,0,False,0.597,0.516,6,-10.737,1,0.0794,0.195,0.0,0.107,0.398,124.82,216809,4
Miami,1JlOeGHtKlGBHsiTJJ4NOE,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,"Manos Frías (con Reik, Beéle)",25,0,False,0.807,0.823,4,-3.486,1,0.0888,0.0165,0.0,0.101,0.845,92.987,130653,4
Rescued,6mgzUNNr3NY6NbTzNzwYq9,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,Rescued,51,0,False,0.274,0.956,4,-4.978,1,0.0814,1.37e-05,1.33e-06,0.117,0.339,150.207,258648,4
Cards (Leftwing : Kody Remix),6c87jH05VNhS63HObtZklu,R Plus,0lnAZ68xKGysVy084bTQmh,Cards (Leftwing : Kody Remix),6,0,False,0.623,0.883,10,-6.479,0,0.0365,0.000201,0.719,0.0646,0.731,125.013,309120,4
Cards (Leftwing : Kody Remix) (Edit),3syU5bhZWxHDG9Y3SDqRaH,R Plus,0lnAZ68xKGysVy084bTQmh,Cards (Leftwing : Kody Remix),8,0,False,0.54,0.911,10,-6.857,0,0.0283,0.000542,0.581,0.0692,0.446,124.999,185280,4
Lemonade - Remix,3RfV4Hd8daHe9dvwRU7oi7,Internet Money,6MPCFvOQv5cIGfw3jODMF0,Lemonade (Remix),37,0,True,0.832,0.549,1,-8.259,0,0.0602,0.168,0.0,0.11,0.384,140.045,181496,4
