name,id,artist,artist_id,album,popularity,is_top_10,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
I Had Some Help (Feat. Morgan Wallen),7221xIgOnuakPdLqT0F3nP,Post Malone,246dkjvS1zLTtiykXe5h60,I Had Some Help,94,0,True,0.638,0.855,7.0,-4.86,1.0,0.0264,0.00757,0.0,0.245,0.731,127.986,178206.0,4.0
Please Please Please,5N3hjp1WNayUPZrA8kJmJP,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Please Please Please,97,1,True,0.669,0.586,9.0,-6.073,1.0,0.054,0.274,0.0,0.104,0.579,107.071,186365.0,4.0
BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,100,1,False,0.747,0.507,2.0,-10.171,1.0,0.0358,0.2,0.0608,0.117,0.438,104.978,210373.0,4.0
"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,"Good Luck, Babe!",96,1,False,0.7,0.582,11.0,-5.96,0.0,0.0356,0.0502,0.0,0.0881,0.785,116.712,218424.0,4.0
Guess featuring Billie Eilish,3WOhcATHxK2SLNeP5W3v1v,Charli xcx,25uiPmTg16RbhZWAqwLBy5,Guess featuring Billie Eilish,92,1,False,0.776,0.667,7.0,-6.622,1.0,0.0983,0.0146,0.3,0.0761,0.618,130.019,145219.0,4.0
Espresso,2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Espresso,98,1,True,0.701,0.76,0.0,-5.478,1.0,0.0285,0.107,6.54e-05,0.185,0.69,103.969,175459.0,4.0
A Bar Song (Tipsy),2FQrifJ1N335Ljm3TjTVVf,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,A Bar Song (Tipsy),92,0,True,0.722,0.709,9.0,-4.95,1.0,0.0273,0.0633,0.0,0.0804,0.604,81.012,171292.0,4.0
Too Sweet,4IadxL6BUymXlh8RCJJu7T,Hozier,2FXC3k01G6Gw61bmprjgqS,Unheard,82,0,False,0.741,0.62,10.0,-5.505,1.0,0.0412,0.0295,0.000809,0.0398,0.934,117.038,251424.0,4.0
Slow It Down,51eSHglvG1RJXtL3qI5trr,Benson Boone,22wbnEMDvgVIAGdFeek6ET,Fireworks & Rollerblades,90,1,False,0.432,0.583,8.0,-4.682,1.0,0.0687,0.174,0.0,0.0933,0.544,181.489,161831.0,4.0
I Can Do It With a Broken Heart,4q5YezDOIPcoLr8R81x9qy,Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,87,1,True,0.701,0.751,0.0,-8.39,1.0,0.0502,0.123,0.0,0.15,0.22,129.994,218005.0,4.0
Die With A Smile,2plbrEY59IikOBgBGLjaoe,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Die With A Smile,82,1,False,0.521,0.592,6.0,-7.777,0.0,0.0304,0.308,0.0,0.122,0.535,157.969,251668.0,3.0
Apple,19RybK6XDbAVpcdxSbZL1o,Charli xcx,25uiPmTg16RbhZWAqwLBy5,BRAT,89,1,False,0.804,0.957,0.0,-5.452,1.0,0.034,0.125,0.0174,0.114,0.962,126.035,151740.0,4.0
MILLION DOLLAR BABY,5AJ9hqTS2wcFQCELCFRO7A,Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,MILLION DOLLAR BABY,94,1,False,0.852,0.697,1.0,-5.52,0.0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,155152.0,4.0
Stargazing,3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,3bO19AOone0ubCsfDXDtYt,Stargazing,93,1,False,0.635,0.601,1.0,-6.129,0.0,0.0295,0.246,0.0,0.11,0.332,123.994,172533.0,4.0
Lose Control,17phhZDn6oGtzMe56NuWvj,Teddy Swims,33qOK5uJ8AR2xuQQAhHump,I've Tried Everything But Therapy (Part 1),91,1,False,0.561,0.604,9.0,-4.409,1.0,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689.0,3.0
Belong Together,5uQ7de4EWjb3rkcFxyEOpu,Mark Ambor,11p2E654TTU8e0nZWBR4AL,Belong Together,91,0,False,0.646,0.668,2.0,-5.203,1.0,0.0282,0.491,0.0,0.212,0.64,90.969,148318.0,4.0
HOT TO GO!,4xdBrk0nFZaP54vvZj0yx7,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,The Rise and Fall of a Midwest Princess,91,1,False,0.742,0.757,6.0,-4.981,1.0,0.0421,0.0187,0.0,0.305,0.957,139.982,184841.0,4.0
we can't be friends (wait for your love),46kspZSY3aKmwQe7O77fCC,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,eternal sunshine,84,0,False,0.645,0.646,5.0,-8.334,1.0,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,228639.0,4.0
New Woman (feat. ROSALÍA),7ov3TDp5D00Rnu5R1viX4w,LISA,5L1lO4eRHmJ7a0Q6csE5cT,New Woman (feat. ROSALÍA),84,1,False,0.477,0.854,7.0,-4.715,1.0,0.275,0.0858,0.0,0.065,0.314,140.515,179790.0,5.0
Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,Benson Boone,22wbnEMDvgVIAGdFeek6ET,Beautiful Things,90,0,False,0.472,0.471,10.0,-5.692,1.0,0.0603,0.151,0.0,0.14,0.219,105.029,180304.0,3.0
LUNCH,629DixmZGHc7ILtEntuiWE,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,92,1,False,0.893,0.4,11.0,-7.981,0.0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,179587.0,4.0
Austin (Boots Stop Workin'),2uqYupMHANxnwgeiXTZXzd,Dasha,7Ez6lTtSMjMf2YSYpukP1I,What Happens Now?,91,1,True,0.756,0.672,0.0,-6.743,1.0,0.0522,0.464,3.37e-06,0.108,0.739,114.935,171783.0,4.0
End of Beginning,3qhlB30KknSejmIvZZLjOD,Djo,5p9HO3XC5P3BLxJs5Mtrhm,DECIDE,92,1,False,0.689,0.454,2.0,-7.643,1.0,0.0584,0.0351,0.00259,0.0707,0.912,159.982,159246.0,4.0
i like the way you kiss me,2GxrNKugF82CnoRFbQfzPf,Artemas,0PCCGZ0wGLizHt2KZ7hhA2,i like the way you kiss me,91,0,False,0.599,0.946,11.0,-4.263,1.0,0.0447,0.000938,0.0106,0.0826,0.747,151.647,142515.0,4.0
360,4w2GLmK2wnioVnb5CPQeex,Charli xcx,25uiPmTg16RbhZWAqwLBy5,BRAT,89,1,True,0.857,0.62,0.0,-8.13,1.0,0.0472,0.646,0.244,0.0934,0.796,120.042,133805.0,4.0
Move,1BJJbSX6muJVF2AK7uH1x4,Adam Port,2loEsOijJ6XiGzWYFXMIRk,Move,91,1,False,0.727,0.782,8.0,-8.529,0.0,0.042,0.0563,0.336,0.225,0.655,119.992,177599.0,4.0
NIGHTS LIKE THIS,1XBYiRV30ykHw5f4wm6qEn,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,THE FIRST TIME,88,1,False,0.482,0.757,6.0,-4.586,1.0,0.0355,0.0137,0.0016,0.143,0.12,142.579,86984.0,4.0
Saturn,1bjeWoagtHmUKputLVyDxQ,SZA,7tYKF4w9nC0nq9CsPZTHyP,Saturn,89,1,False,0.411,0.619,1.0,-6.834,1.0,0.0368,0.62,0.0,0.11,0.337,177.937,186192.0,4.0
Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,90,1,False,0.504,0.386,11.0,-10.976,1.0,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,228965.0,4.0
Not Like Us,6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Not Like Us,96,1,True,0.898,0.472,1.0,-7.001,1.0,0.0776,0.0107,0.0,0.141,0.214,101.061,274192.0,4.0
I Don't Wanna Wait,331l3xABO0HMr1Kkyh2LZq,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,I Don't Wanna Wait,90,1,False,0.681,0.714,1.0,-4.617,0.0,0.0309,0.0375,0.0,0.232,0.554,129.976,149668.0,4.0
"I Love You, I'm Sorry",51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,The Secret of Us,86,1,True,0.53,0.406,10.0,-7.507,1.0,0.033,0.656,0.0,0.133,0.338,115.94,157147.0,3.0
Tough,22DH8NChecsgPxDjA4pqer,Quavo,0VRj0yCOv2FXJNP47XQnx5,Tough,87,1,False,0.582,0.557,8.0,-7.981,0.0,0.101,0.452,1.87e-05,0.121,0.211,84.989,188867.0,4.0
Scared To Start,3Pbp7cUCx4d3OAkZSCoNvn,Michael Marcagi,4j96cMcT8GRi11qbvo1cLQ,Scared To Start,88,1,False,0.527,0.551,7.0,-11.258,1.0,0.0345,0.384,2.75e-06,0.403,0.443,148.035,159636.0,4.0
