Artist,Listeners,Daily Trend,Peak,PkListeners
Billie Eilish,"105,759,656","6,626,996",1,"105,759,656"
The Weeknd,"105,046,690","6,464,509",1,"117,203,987"
Taylor Swift,"95,647,057","4,983,541",1,"116,229,071"
Coldplay,"87,339,317","7,695,998",4,"87,403,624"
Post Malone,"84,787,711","5,067,028",3,"98,466,468"
Rihanna,"84,671,955","5,701,795",2,"87,326,767"
David Guetta,"79,904,074","5,883,293",4,"80,447,076"
Eminem,"79,500,871","5,178,094",5,"86,389,533"
Bruno Mars,"77,036,021","8,515,391",7,"77,060,514"
Ariana Grande,"76,786,663","5,063,444",3,"99,648,377"
Drake,"76,421,975","4,103,140",3,"86,591,246"
Sabrina Carpenter,"76,200,862","4,932,690",4,"86,978,817"
Justin Bieber,"75,639,617","6,232,428",3,"95,396,733"
Calvin Harris,"73,476,008","5,251,979",13,"73,882,008"
Dua Lipa,"72,579,069","5,659,334",3,"78,673,675"
Kendrick Lamar,"72,366,380","3,285,749",8,"78,851,748"
Travis Scott,"70,064,552","3,963,745",6,"75,422,869"
SZA,"67,549,215","4,323,761",9,"74,637,927"
Ed Sheeran,"66,985,517","6,078,329",2,"87,934,910"
Kanye West,"66,453,300","3,265,276",6,"78,581,428"
Shakira,"66,264,091","5,503,287",3,"82,268,835"
Bad Bunny,"65,757,485","2,765,659",3,"84,533,787"
Lana Del Rey,"63,045,088","4,708,529",22,"64,952,989"
Maroon 5,"62,714,132","5,497,158",21,"63,296,331"
KAROL G,"61,868,275","3,346,752",21,"61,868,275"
Lady Gaga,"60,907,393","7,549,167",22,"60,907,393"
Marshmello,"60,722,441","4,858,944",11,"68,947,085"
Imagine Dragons,"60,073,347","5,132,537",18,"62,393,284"
OneRepublic,"59,224,041","5,196,899",23,"64,167,172"
Katy Perry,"58,898,986","4,966,072",23,"61,909,408"
J Balvin,"58,010,115","4,237,627",29,"58,064,134"
Future,"57,987,076","2,922,352",22,"65,628,348"
Beyoncé,"57,742,343","4,790,214",6,"78,122,541"
Adele,"57,439,711","6,140,144",31,"58,244,524"
Miley Cyrus,"56,857,380","5,028,558",2,"84,140,935"
Sia,"55,584,313","5,918,004",8,"82,360,014"
Harry Styles,"55,349,466","4,415,731",13,"66,411,599"
Metro Boomin,"55,230,201","2,738,718",17,"64,728,517"
Khalid,"55,106,893","4,293,412",28,"55,106,893"
Daddy Yankee,"54,190,915","4,384,091",22,"58,098,739"
Hozier,"53,894,878","3,725,241",32,"57,616,097"
Benson Boone,"53,559,324","3,990,192",31,"60,310,612"
Queen,"53,242,165","5,307,902",30,"59,814,703"
21 Savage,"52,511,106","2,948,858",17,"66,771,445"
Sam Smith,"52,429,013","5,001,467",7,"73,972,799"
Rauw Alejandro,"51,997,631","2,446,320",34,"53,296,711"
Doja Cat,"51,712,187","3,585,385",5,"76,357,864"
Arctic Monkeys,"51,401,485","4,587,877",41,"51,868,167"
Elton John,"51,395,927","4,621,316",16,"68,098,396"
Peso Pluma,"50,649,337","1,667,960",27,"59,429,724"
The Chainsmokers,"50,295,129","5,301,533",48,"50,559,085"
Pitbull,"49,652,199","4,445,748",44,"51,942,691"
Chris Brown,"49,623,414","3,806,479",25,"54,390,450"
Olivia Rodrigo,"49,053,076","3,143,665",18,"64,128,148"
Cris Mj,"48,216,038","3,108,541",52,"49,896,640"
Tiësto,"47,243,240","4,100,590",38,"53,621,311"
Nicki Minaj,"46,513,769","3,538,284",18,"65,680,733"
Shawn Mendes,"46,025,013","5,427,474",45,"46,917,936"
Maluma,"45,016,947","2,973,687",56,"45,016,947"
The Kid LAROI,"44,974,183","3,777,223",50,"44,974,183"
Michael Jackson,"44,037,351","4,571,305",56,"44,037,351"
Feid,"43,899,994","1,965,613",53,"46,407,503"
One Direction,"43,844,257","4,560,575",58,"45,871,293"
Morgan Wallen,"43,820,963","1,808,063",59,"46,385,773"
Playboi Carti,"43,539,808","2,564,186",31,"59,047,563"
Ellie Goulding,"43,506,542","4,295,789",51,"45,626,754"
Ozuna,"43,249,391","3,229,894",40,"51,532,028"
Camila Cabello,"42,842,088","4,290,375",57,"46,949,182"
Black Eyed Peas,"42,763,208","4,634,617",57,"42,763,208"
Myke Towers,"42,541,015","2,472,743",48,"47,235,005"
The Neighbourhood,"42,409,254","3,500,855",66,"42,534,912"
Halsey,"42,324,973","3,603,289",48,"45,939,636"
Charli xcx,"42,167,730","3,323,372",72,"42,167,730"
Bebe Rexha,"41,734,127","4,084,775",37,"49,496,274"
Chappell Roan,"41,479,925","2,259,203",69,"41,479,925"
USHER,"41,396,146","3,591,924",47,"51,216,038"
Linkin Park,"40,834,636","3,056,888",62,"43,675,170"
FloyyMenor,"40,780,063","2,789,241",66,"42,961,167"
Madonna,"40,617,577","4,493,369",50,"48,192,778"
Tate McRae,"40,454,107","3,297,661",26,"59,945,963"
Arijit Singh,"40,379,155","-67,481",57,"41,307,811"
XXXTENTACION,"40,320,275","2,161,593",67,"40,634,020"
Swae Lee,"40,216,120","4,159,490",51,"47,431,521"
Gunna,"39,801,055","2,211,708",65,"43,236,433"
Teddy Swims,"39,742,063","3,232,326",76,"40,636,245"
AC/DC,"39,728,660","4,016,448",77,"40,609,655"
Avicii,"39,619,631","4,343,098",69,"39,619,631"
Britney Spears,"39,538,707","3,937,929",59,"48,224,978"
Manuel Turizo,"39,355,960","2,831,643",66,"39,587,171"
Ty Dolla $ign,"38,980,592","2,352,034",40,"52,532,512"
Justin Timberlake,"38,781,121","3,939,761",57,"46,918,730"
Creedence Clearwater Revival,"38,489,731","3,821,938",92,"38,494,432"
Tommy Richman,"38,411,687","2,357,616",47,"50,755,802"
Ne-Yo,"38,387,419","3,986,722",81,"39,892,671"
J. Cole,"38,297,382","1,840,850",45,"48,760,887"
Central Cee,"38,194,382","2,456,928",78,"40,321,501"
Selena Gomez,"38,170,353","3,807,599",22,"58,879,269"
Don Omar,"37,964,444","3,944,572",89,"38,432,695"
Shreya Ghoshal,"37,799,968","56,117",81,"37,951,255"
Pritam,"37,718,724","-87,555",77,"37,937,119"
Tom Odell,"37,540,361","3,762,720",101,"37,540,361"
The Beatles,"37,266,818","3,435,317",78,"37,266,818"
Red Hot Chili Peppers,"37,146,408","3,203,014",81,"39,602,017"
James Arthur,"37,111,354","3,711,999",69,"40,276,141"
50 Cent,"37,102,964","3,442,469",91,"37,531,461"
Lil Baby,"37,017,110","1,672,488",76,"41,194,598"
P!nk,"36,850,361","4,070,370",68,"37,814,655"
Charlie Puth,"36,732,172","3,337,668",58,"42,603,508"
Frank Ocean,"36,403,207","2,015,322",102,"36,494,482"
Lil Wayne,"35,966,838","2,176,407",70,"39,983,298"
Farruko,"35,856,961","3,435,563",64,"39,498,431"
Fleetwood Mac,"35,727,383","2,614,583",97,"35,832,635"
Lost Frequencies,"35,687,425","3,466,632",113,"35,687,425"
A.R. Rahman,"35,686,567","94,866",95,"35,686,567"
Kesha,"35,627,327","3,245,238",105,"36,781,744"
A$AP Rocky,"35,554,870","1,788,403",91,"38,053,171"
DJ Snake,"35,172,210","3,745,455",95,"37,261,803"
Kygo,"35,135,329","3,308,578",95,"37,407,823"
Pharrell Williams,"35,129,227","4,146,331",90,"37,520,208"
Macklemore,"34,776,144","-109,010",99,"36,292,075"
JAY-Z,"34,668,977","2,956,758",66,"38,587,931"
Anne-Marie,"34,461,331","3,696,316",61,"41,501,481"
Luke Combs,"34,444,190","1,249,043",114,"34,444,190"
Shaboozey,"34,369,681","2,069,385",110,"35,811,664"
Artemas,"34,331,329","2,677,401",43,"53,546,898"
Sean Paul,"34,297,015","3,607,261",66,"38,975,847"
Megan Thee Stallion,"34,205,697","2,131,471",121,"34,485,640"
Diplo,"34,186,961","-4,030",95,"34,690,463"
"Tyler, The Creator","33,969,399","1,844,348",86,"34,491,803"
ABBA,"33,713,205","3,462,001",105,"34,251,740"
Green Day,"33,699,728","2,716,002",104,"33,699,728"
Anuel AA,"33,605,591","2,513,166",83,"35,286,500"
Zach Bryan,"33,353,679","1,004,057",119,"34,463,168"
Flo Rida,"33,257,769","3,427,303",112,"34,646,575"
Bizarrap,"33,006,381","2,100,990",28,"54,300,662"
Noah Kahan,"32,913,028","1,496,517",86,"37,900,933"
Alicia Keys,"32,506,416","3,732,742",117,"33,165,571"
Lewis Capaldi,"32,473,085","3,331,814",66,"37,776,153"
Ava Max,"32,303,459","3,268,238",85,"38,288,891"
Wiz Khalifa,"32,209,955","3,577,904",103,"34,112,673"
Grupo Frontera,"31,990,322","1,343,594",64,"39,234,817"
Nirvana,"31,981,252","2,563,027",129,"32,095,337"
Guns N' Roses,"31,583,127","3,488,666",135,"31,583,127"
Jason Derulo,"31,378,867","3,482,414",77,"39,368,590"
Kali Uchis,"31,227,410","2,254,576",49,"48,511,206"
Major Lazer,"30,958,693","3,013,214",132,"31,365,666"
Twenty One Pilots,"30,928,606","2,927,764",118,"34,284,091"
Lil Uzi Vert,"30,915,964","1,802,508",67,"39,580,515"
JENNIE,"30,879,481","2,857,829",87,"36,926,087"
Carin Leon,"30,738,390","1,294,757",125,"32,386,759"
Becky G,"30,628,042","2,657,873",78,"36,514,621"
Alok,"30,592,892","2,763,813",123,"33,578,843"
Alan Walker,"30,444,170","3,001,101",100,"33,218,914"
Steve Lacy,"30,401,638","1,895,335",111,"30,699,861"
TOTO,"30,223,806","4,124,437",155,"30,223,806"
Don Toliver,"30,213,924","1,878,636",111,"30,213,924"
Anitta,"30,106,420","3,240,899",71,"39,197,056"
Lord Huron,"29,997,997","2,618,250",152,"30,422,477"
Chencho Corleone,"29,932,543","2,466,571",106,"31,161,386"
Miguel,"29,883,904","2,569,963",80,"34,144,669"
Bon Jovi,"29,792,682","3,501,866",143,"30,351,410"
Jack Harlow,"29,783,900","2,696,376",29,"59,210,566"
Cardi B,"29,756,584","2,705,618",84,"36,282,159"
Akon,"29,479,935","3,045,414",157,"29,798,477"
The Police,"29,474,242","3,386,657",144,"31,197,145"
Childish Gambino,"29,452,747","1,562,521",151,"30,712,179"
Romeo Santos,"29,194,199","2,657,314",113,"29,261,273"
Billy Joel,"29,159,288","2,429,359",132,"32,898,654"
JHAYCO,"29,042,533","2,259,966",102,"33,308,450"
Djo,"28,987,581","2,734,657",63,"44,239,817"
Snoop Dogg,"28,935,015","3,232,172",109,"31,541,502"
The Lumineers,"28,855,344","2,027,901",165,"28,855,344"
Fuerza Regida,"28,711,467","572,804",105,"33,821,006"
Nicky Jam,"28,569,927","2,776,480",128,"30,366,327"
Mark Ronson,"28,534,545","3,369,899",150,"29,455,174"
Ayra Starr,"28,507,186","2,552,788",134,"32,190,133"
The Rolling Stones,"28,423,981","2,830,800",138,"29,911,374"
Calum Scott,"28,356,529","2,786,342",131,"28,676,261"
Young Thug,"28,353,026","2,211,173",97,"33,656,406"
Juice WRLD,"28,260,572","1,584,506",94,"36,596,624"
ROSALÍA,"28,222,649","5,268,003",47,"46,715,627"
Daniel Caesar,"28,154,678","2,399,834",151,"29,396,265"
*NSYNC,"28,137,468","3,142,253",183,"28,137,468"
Radiohead,"28,116,731","2,887,368",177,"28,116,731"
a-ha,"27,999,907","4,206,883",180,"28,069,054"
Train,"27,981,422","3,986,454",171,"28,360,131"
Natasha Bedingfield,"27,861,800","2,866,224",165,"28,725,197"
The Killers,"27,847,004","2,642,665",185,"27,847,004"
Myles Smith,"27,832,742","2,131,518",170,"28,960,193"
Mitski,"27,792,878","2,252,974",71,"39,387,536"
Bob Marley & The Wailers,"27,566,033","2,870,824",170,"28,137,637"
Quevedo,"27,546,466","2,096,689",71,"38,182,790"
Trueno,"27,330,611","1,738,027",178,"28,176,321"
Enrique Iglesias,"27,317,861","2,813,656",151,"29,585,670"
Demi Lovato,"27,308,153","3,682,942",98,"33,320,815"
Robin Schulz,"27,150,351","3,160,291",76,"34,908,935"
