artist_name,artist_ID
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
Taylor Swift,06HL4z0CvFAxyc27GXpf02
Coldplay,4gzpq5DPGxSnKTe4SA8HAU
Post Malone,246dkjvS1zLTtiykXe5h60
Rihanna,5pKCCKE2ajJHZ9KAiaK11H
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai
Eminem,7dGJo4pcD2V6oG8kP0tJRR
Bruno Mars,0du5cEVh5yTK9QJze8zA0C
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR
Drake,3TVXtAsR1Inumwj472S9r4
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B
Justin Bieber,1uNFoZAHBGtllmzznpCI3s
Calvin Harris,7CajNmpbOovFoOoasH2HaY
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
SZA,7tYKF4w9nC0nq9CsPZTHyP
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
Kanye West,5K4W6rqBFWDnAN6FQUkS6x
Shakira,0EmeFodog0BfCgMzAIvKQp
Bad Bunny,4q3ewBCX7sLwd24euuV69X
Lana Del Rey,00FQb4jTyendYWaN8pK0wa
Maroon 5,04gDigrS5kc9YWfZHwBETP
KAROL G,790FomKkXshlbRYZFtlgla
Lady Gaga,1HY2Jd0NmPuamShAr6KMms
Marshmello,64KEffDW9EtZ1y2vBYgq8T
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ
Katy Perry,6jJ0s89eD6GaHleKKya26X
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5
Future,1RyvyyTE3xzB2ZywiAwp0i
Beyoncé,6vWDO969PvNqNYHIOW5v0m
Adele,4dpARuHxo51G3z768sgnrY
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6
Sia,5WUlDfRSoLAfcVSX1WnrxN
Harry Styles,6KImCVD70vtIoJWnq6nGn3
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp
Khalid,6LuN9FCkKOj5PcnpouEgny
Daddy Yankee,4VMYDCV2IEDYJArk749S6m
Hozier,2FXC3k01G6Gw61bmprjgqS
Benson Boone,22wbnEMDvgVIAGdFeek6ET
Queen,1dfeR4HaWDbWqFHLkxsg1d
21 Savage,1URnnhqYAYcrqrcwql10ft
Sam Smith,2wY79sveU1sp5g7SokKOiI
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH
Elton John,3PhoLpVuITZKcymswpck5b
Peso Pluma,12GqGscKJx3aE4t07u7eVZ
The Chainsmokers,69GGBxA162lTqCwzJG5jLp
Pitbull,0TnOYISbd1XYRBk9myaseg
Chris Brown,7bXgB6jMjp9ATFy66eO08Z
Olivia Rodrigo,1McMsnEElThX1knmY4oliG
Cris Mj,1Yj5Xey7kTwvZla8sqdsdE
Tiësto,2o5jDhtHVPhrJdv3cEQ99Z
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr
Maluma,1r4hJ1h58CWwUQe3MxPuau
The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm
Feid,2LRoIwlKmHjgvigdNGBHNo
One Direction,4AK6F7OLvEQ5QYCBNiQWHq
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
Playboi Carti,699OTQXzgjhIYAHMy9RyPD
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ
Ozuna,1i8SpTcr7yvPOmcqrbnVXY
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS
Myke Towers,7iK8PXO48WeuP03g8YR51W
The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh
Halsey,26VFTg2z8YR0cCuwLzESi2
Charli xcx,25uiPmTg16RbhZWAqwLBy5
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb
Chappell Roan,7GlBOeep6PqTfFi59PTUUN
USHER,23zg3TcAtWQy7J6upgbUnj
Linkin Park,6XyY86QOPPrYVGvF9ch6wz
FloyyMenor,7CvTknweLr9feJtRGrpDBy
Madonna,6tbjWDEIzxoDsBA1FuhfPW
Tate McRae,45dkTj5sMRSjrmBSBeiHym
Arijit Singh,4YRxDV8wJFPHPTeXepOstw
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4
Swae Lee,1zNqQNIdeOUZHb8zbZRFMX
Gunna,2hlmm7s2ICUX0LVIhVFlZQ
Teddy Swims,33qOK5uJ8AR2xuQQAhHump
AC/DC,711MCceyCBcFnzjGY4Q7Un
Avicii,1vCWHaC5f2uS3yhpwWbIA6
Britney Spears,26dSoYclwsYLMAKD3tpOr4
Manuel Turizo,0tmwSHipWxN12fsoLcFU3B
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq
Justin Timberlake,31TPClRtHm23RisEBtV3X7
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd
Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo
Ne-Yo,21E3waRsmPlU7jZsS13rcj
J. Cole,6l3HvQ5sa6mXTsMTB19rO5
Central Cee,5H4yInM5zmHqpKIoMNAx4r
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
Don Omar,33ScadVnbm2X8kkUqOkC6Z
Shreya Ghoshal,0oOet2f43PA68X5RxKobEy
Pritam,1wRPtKGflJrBx9BmLsSwlU
Tom Odell,2txHhyCwHjUEpJjWrEyqyX
The Beatles,3WrFJ7ztbogyGnTHbHJFl2
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5
James Arthur,4IWBUUAFIplrNtaOHcJPRM
50 Cent,3q7HBObVc0L8jNeTe5Gofh
Lil Baby,5f7VJjfbwm532GiveGC0ZK
P!nk,1KCSPY1glIKqW2TotWuXOR
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7
Frank Ocean,2h93pZq0e7k5yf4dywlkpM
Lil Wayne,55Aa2cqylxrFIXC767Z865
Farruko,329e4yvIujISKGKz1BZZbO
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X
Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7
A.R. Rahman,1mYsTxnqsietFxj1OgoGbG
Kesha,6LqNN22kT3074XbTVUrhzX
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca
DJ Snake,540vIaP2JwjQb9dm3aArA4
Kygo,23fqKkggKUBHNkbKtXEls4
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8
Macklemore,3JhNCzhSMTxs9WLGJJxWOY
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
Luke Combs,718COspgdWOnwOFpJHRZHS
Shaboozey,3y2cIKLjiOlp1Np37WiUdH
Artemas,0PCCGZ0wGLizHt2KZ7hhA2
Sean Paul,3Isy6kedDrgPYoTS1dazA9
Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK
Diplo,5fMUXHkw8R8eOP2RNVYEZX
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF
ABBA,0LcJLqbBmaGUft1e9Mm8HV
Green Day,7oPftvlwr6VrsViSDV7fJY
Anuel AA,2R21vXR83lH98kGeO99Y66
Zach Bryan,40ZNYROS4zLfyyBSs2PGe2
Flo Rida,0jnsk9HBra6NMjO2oANoPY
Bizarrap,716NhGYqD1jl2wI1Qkgq36
Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB
Ava Max,4npEfmQ6YuiwW1GpUmaq3F
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop
Grupo Frontera,6XkjpgcEsYab502Vr1bBeW
Nirvana,6olE6TJLqED3rqDCT0FyPh
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y
Kali Uchis,1U1el3k54VvEUzo3ybLPlM
Major Lazer,738wLrAtLtCtFOLvQBXOXp
Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
JENNIE,250b0Wlc5Vk0CoUsaCY84M
Carin Leon,66ihevNkSYNzRAl44dx6jJ
Becky G,4obzFoKoKRHIphyHzJ35G3
Alok,0NGAZxHanS9e0iNHpR8f2W
Alan Walker,7vk5e3vY1uw9plTHJAMwjN
Steve Lacy,57vWImR43h4CaDao012Ofp
TOTO,0PFtn5NtBbbUNbU9EAmIWF
Don Toliver,4Gso3d4CscCijv0lmajZWs
Anitta,3z7uejI6VjINKO4LQXxMuz
Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25
Chencho Corleone,37230BxxYs9ksS7OkZw3IU
Miguel,360IAlyVv4PCEVjgyMZrxK
Bon Jovi,58lV9VcRSjABbAbfWS6skp
Jack Harlow,2LIk90788K0zvyj2JJVwkJ
Cardi B,4kYSro6naA4h99UJvo89HB
Akon,0z4gvV4rjIZ9wHck67ucSV
The Police,5NGO30tJxFlKixkPSgXcFE
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
Romeo Santos,5lwmRuXgjX8xIwlnauTZIP
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e
JHAYCO,6nVcHLIgY5pE2YCl8ubca1
Djo,5p9HO3XC5P3BLxJs5Mtrhm
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG
The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt
Nicky Jam,1SupJlEpv7RS2tPNRaHViT
Mark Ronson,3hv9jJF3adDNsBSIQDqcjp
Ayra Starr,3ZpEKRjHaHANcpk10u6Ntq
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe
Calum Scott,6ydoSd3N2mwgwBHtF6K7eX
Young Thug,50co4Is1HCEo8bhOyUWKpn
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz
ROSALÍA,7ltDVBr6mKbRvohxheJ9h1
Daniel Caesar,20wkVLutqVOYrc0kxFs7rA
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o
Radiohead,4Z8W4fKeB5YxbusRsdQVPb
a-ha,2jzc5TC5TVFLXQlBNiIUzE
Train,3FUY2gzHeIiaesXtOAdB7A
Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a
The Killers,0C0XlULifJtAgn6ZNCW2eu
Myles Smith,3bO19AOone0ubCsfDXDtYt
Mitski,2uYWxilOVlUdk4oV9DvwqK
Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD
Quevedo,52iwsT98xCoGgiGntTiR7K
Trueno,2x7PC78TmgqpEIjaGAZ0Oz
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw
Demi Lovato,6S2OmqARrzebs0tKUEyXyp
Robin Schulz,3t5xRXzsuZmMDkQzgOX35S
Metallica,2ye2Wgw4gimLv2eAKyk1NB
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz
Kodak Black,46SHBwWsqBkxI7EeeBEQG7
Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS
Bee Gees,1LZEQNv7sE11VDY3SdxQeN
Disney,3xvaSlT4xsyk6lY1ESOspO
Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc
Tame Impala,5INjqkS1o8h1imAzPqGZBb
BTS,3Nrfpe0tUJi4K4DXYWgMUX
Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR
RAYE,5KKpBU5eC2tJDzf0wmlRp2
Whitney Houston,6XpaIBNiVzIetEPCWDvAFP
Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H
Lily-Rose Depp,1pBLC0qVRTB5zVMuteQ9jJ
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg
Gorillaz,3AA28KZvwAUcZuOKwyblJQ
Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj
Outkast,1G9G7WwrXka3Z1r7aIDjI7
Journey,0rvjqX7ttXeg3mTy8Xscbt
